,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
0,E0,2019-09-08,Liverpool,Norwich,4.0,1.0
1,E0,2019-10-08,West Ham,Man City,0.0,5.0
2,E0,2019-10-08,Bournemouth,Sheffield United,1.0,1.0
3,E0,2019-10-08,Burnley,Southampton,3.0,0.0
4,E0,2019-10-08,Crystal Palace,Everton,0.0,0.0
5,E0,2019-10-08,Watford,Brighton,0.0,3.0
6,E0,2019-10-08,Tottenham,Aston Villa,3.0,1.0
7,E0,2019-11-08,Leicester,Wolves,0.0,0.0
8,E0,2019-11-08,Newcastle,Arsenal,0.0,1.0
9,E0,2019-11-08,Man United,Chelsea,4.0,0.0
10,E0,2019-08-17,Arsenal,Burnley,2.0,1.0
11,E0,2019-08-17,Aston Villa,Bournemouth,1.0,2.0
12,E0,2019-08-17,Brighton,West Ham,1.0,1.0
13,E0,2019-08-17,Everton,Watford,1.0,0.0
14,E0,2019-08-17,Norwich,Newcastle,3.0,1.0
15,E0,2019-08-17,Southampton,Liverpool,1.0,2.0
16,E0,2019-08-17,Man City,Tottenham,2.0,2.0
17,E0,2019-08-18,Sheffield United,Crystal Palace,1.0,0.0
18,E0,2019-08-18,Chelsea,Leicester,1.0,1.0
19,E0,2019-08-19,Wolves,Man United,1.0,1.0
20,E0,2019-08-23,Aston Villa,Everton,2.0,0.0
21,E0,2019-08-24,Norwich,Chelsea,2.0,3.0
22,E0,2019-08-24,Brighton,Southampton,0.0,2.0
23,E0,2019-08-24,Man United,Crystal Palace,1.0,2.0
24,E0,2019-08-24,Sheffield United,Leicester,1.0,2.0
25,E0,2019-08-24,Watford,West Ham,1.0,3.0
26,E0,2019-08-24,Liverpool,Arsenal,3.0,1.0
27,E0,2019-08-25,Bournemouth,Man City,1.0,3.0
28,E0,2019-08-25,Tottenham,Newcastle,0.0,1.0
29,E0,2019-08-25,Wolves,Burnley,1.0,1.0
30,E0,2019-08-31,Southampton,Man United,1.0,1.0
31,E0,2019-08-31,Chelsea,Sheffield United,2.0,2.0
32,E0,2019-08-31,Crystal Palace,Aston Villa,1.0,0.0
33,E0,2019-08-31,Leicester,Bournemouth,3.0,1.0
34,E0,2019-08-31,Man City,Brighton,4.0,0.0
35,E0,2019-08-31,Newcastle,Watford,1.0,1.0
36,E0,2019-08-31,West Ham,Norwich,2.0,0.0
37,E0,2019-08-31,Burnley,Liverpool,0.0,3.0
38,E0,2019-01-09,Everton,Wolves,3.0,2.0
